epoch;accuracy;loss;val_accuracy;val_loss
0;0.34856006503105164;2.1234500408172607;0.64682537317276;1.0604091882705688
1;0.5319430828094482;1.465491771697998;0.6931216716766357;0.8671305775642395
2;0.6120489835739136;1.201007604598999;0.7870370149612427;0.6730427742004395
3;0.6603773832321167;1.0249072313308716;0.820105791091919;0.6342910528182983
4;0.6828864812850952;0.9373655319213867;0.8386243581771851;0.5277119278907776
5;0.7226083874702454;0.8545308709144592;0.8650793433189392;0.45125478506088257
6;0.7537239193916321;0.7750895619392395;0.8756613731384277;0.44397589564323425
7;0.7567030787467957;0.7639314532279968;0.8849206566810608;0.4107140004634857
8;0.7669645547866821;0.6981270909309387;0.8875661492347717;0.39459434151649475
9;0.7821913361549377;0.6621286273002625;0.8888888955116272;0.3676786422729492
10;0.7881495952606201;0.6311861872673035;0.8862434029579163;0.37924015522003174
11;0.8010592460632324;0.6040319800376892;0.9007936716079712;0.3355022668838501
12;0.8106586933135986;0.5763900876045227;0.89682537317276;0.33703088760375977
13;0.8238993883132935;0.5482963919639587;0.9074074029922485;0.31969907879829407
14;0.8268784880638123;0.5348804593086243;0.9100528955459595;0.32124975323677063
15;0.8308507204055786;0.5145958065986633;0.9179894328117371;0.2937801778316498
16;0.8404501676559448;0.47553855180740356;0.9246031641960144;0.28679975867271423
17;0.8361469507217407;0.4968644380569458;0.9246031641960144;0.2796008586883545
18;0.8407812118530273;0.47507986426353455;0.9193121790885925;0.2901839315891266
19;0.8467394709587097;0.47592025995254517;0.9100528955459595;0.2908235490322113
