epoch;accuracy;loss;val_accuracy;val_loss
0;0.32737505435943604;2.2050564289093018;0.6335979104042053;1.1041126251220703
1;0.4932141602039337;1.5397264957427979;0.6693121790885925;0.945405125617981
2;0.5537901520729065;1.325005292892456;0.7420634627342224;0.8205946683883667
3;0.6021184921264648;1.1830947399139404;0.7645502686500549;0.7313723564147949
4;0.6378682851791382;1.0706321001052856;0.8029100298881531;0.6698825359344482
5;0.6577292084693909;0.9816009402275085;0.8121693134307861;0.6299968957901001
6;0.6802383065223694;0.9368240833282471;0.8320105671882629;0.5377547740936279
7;0.696458101272583;0.8835079073905945;0.8452380895614624;0.5340068936347961
8;0.7179741859436035;0.8419507741928101;0.8386243581771851;0.4958345890045166
9;0.7318768501281738;0.8209515810012817;0.8703703880310059;0.4554666578769684
10;0.7418073415756226;0.7672910094261169;0.8492063283920288;0.4539715349674225
11;0.7411453127861023;0.7584158778190613;0.8624338507652283;0.42702266573905945
12;0.7547169923782349;0.7167879343032837;0.8743386268615723;0.3965810239315033
13;0.7699437141418457;0.6980258226394653;0.8690476417541504;0.3973139226436615
14;0.7805362343788147;0.6492447853088379;0.8677248954772949;0.41109785437583923
15;0.7725918292999268;0.6642329096794128;0.8822751045227051;0.3839235305786133
16;0.7808672785758972;0.6152796745300293;0.8822751045227051;0.3641270101070404
17;0.7937768697738647;0.6272149085998535;0.9021164178848267;0.3324384093284607
18;0.8047004342079163;0.591303288936615;0.8769841194152832;0.37018200755119324
19;0.802383303642273;0.5794126391410828;0.8994709253311157;0.32982301712036133
20;0.8070175647735596;0.5855913162231445;0.89682537317276;0.3355700671672821
21;0.8199271559715271;0.549204409122467;0.9034391641616821;0.32750028371810913
22;0.8093346357345581;0.5414050817489624;0.9007936716079712;0.3157620429992676
23;0.8123137950897217;0.5578753352165222;0.9047619104385376;0.2999584376811981
24;0.8348228931427002;0.5054183006286621;0.89682537317276;0.31900936365127563
25;0.8195961713790894;0.5445601344108582;0.9140211343765259;0.2940371036529541
26;0.8315127491950989;0.5054720640182495;0.9021164178848267;0.3024017810821533
27;0.817279040813446;0.5316659808158875;0.9060846567153931;0.3046382963657379
