epoch;accuracy;loss;val_accuracy;val_loss
0;0.7865315675735474;0.632533848285675;0.9934640526771545;0.026025298982858658
1;0.8862373232841492;0.3603191673755646;0.9954248070716858;0.022129004821181297
2;0.9125531315803528;0.278820276260376;0.9941176176071167;0.02122393064200878
3;0.9208891987800598;0.24131445586681366;0.998039186000824;0.011731406673789024
4;0.9280810952186584;0.22571581602096558;0.9947712421417236;0.01060121413320303
5;0.9298790693283081;0.2097707837820053;0.998039186000824;0.007208407390862703
6;0.9372344017028809;0.2023807018995285;1.0;0.0049728588201105595
7;0.9447531700134277;0.16847120225429535;0.998039186000824;0.004805931821465492
8;0.9424648284912109;0.1794305443763733;0.9993463754653931;0.003498850390315056
9;0.9467146396636963;0.17035366594791412;0.9986928105354309;0.004790690261870623
10;0.9517816305160522;0.1533695012331009;0.9986928105354309;0.0065483711659908295
11;0.9542334079742432;0.15438424050807953;0.998039186000824;0.004797665402293205
12;0.9478587508201599;0.16033543646335602;0.9993463754653931;0.004091368988156319
13;0.9555410146713257;0.14307604730129242;0.9993463754653931;0.0036687212996184826
14;0.9539064764976501;0.13684989511966705;0.9986928105354309;0.002716143848374486
15;0.9529258012771606;0.13964681327342987;0.9993463754653931;0.0037471456453204155
16;0.9583197236061096;0.13118323683738708;0.9993463754653931;0.0036408412270247936
17;0.9571755528450012;0.13030752539634705;0.9986928105354309;0.004586586728692055
18;0.9581562876701355;0.13522161543369293;0.9993463754653931;0.0023392895236611366
19;0.9576659202575684;0.12704052031040192;0.9993463754653931;0.0035858680494129658
