epoch;accuracy;loss;val_accuracy;val_loss
0;0.31709709763526917;1.8029979467391968;0.4627451002597809;1.2211850881576538
1;0.4138607382774353;1.3706234693527222;0.5189542770385742;1.113891839981079
2;0.47123241424560547;1.2477519512176514;0.556209146976471;1.0557105541229248
3;0.4932984709739685;1.2062441110610962;0.5568627715110779;1.0438917875289917
4;0.5199411511421204;1.1556142568588257;0.5601307153701782;1.0061548948287964
5;0.5364498496055603;1.1351665258407593;0.5666666626930237;0.9925815463066101
6;0.5441320538520813;1.0972448587417603;0.6065359711647034;0.9806504249572754
7;0.5583524107933044;1.0615404844284058;0.5836601257324219;0.9954043030738831
8;0.5697940587997437;1.0452194213867188;0.5803921818733215;0.9577966928482056
9;0.5782935619354248;1.0350626707077026;0.6215686202049255;0.9379376173019409
10;0.5856488943099976;1.0203427076339722;0.6117647290229797;0.9471661448478699
11;0.5941483974456787;0.9963797926902771;0.6294117569923401;0.9191678166389465
12;0.6073880195617676;0.984431803226471;0.6163398623466492;0.9329872131347656
13;0.6113108992576599;0.9740958213806152;0.6183006763458252;0.9536566138267517
14;0.6150702834129333;0.9603602290153503;0.6202614307403564;0.9159388542175293
15;0.6193200349807739;0.9522098302841187;0.6189542412757874;0.92362380027771
16;0.6301078796386719;0.934931218624115;0.6333333253860474;0.9010711908340454
17;0.6361556053161621;0.9156491160392761;0.6333333253860474;0.9099201560020447
18;0.6454723477363586;0.902518630027771;0.6392157077789307;0.898271918296814
19;0.649068295955658;0.8900598883628845;0.6516339778900146;0.8938115239143372
20;0.657731294631958;0.8728225827217102;0.6457516551017761;0.9222813248634338
21;0.6610003113746643;0.8617709279060364;0.6450980305671692;0.9024999141693115
22;0.6688460111618042;0.8478755950927734;0.6437908411026001;0.8993435502052307
23;0.6727688908576965;0.8456431031227112;0.6562091708183289;0.886834979057312
24;0.6799607872962952;0.8247168660163879;0.6627451181411743;0.896399736404419
25;0.6837201714515686;0.8145357966423035;0.6457516551017761;0.8824822902679443
26;0.6853547096252441;0.811928927898407;0.6594771146774292;0.876793384552002
27;0.6949983835220337;0.7920774221420288;0.6679738759994507;0.8831892609596252
28;0.7018633484840393;0.7897299528121948;0.6581699252128601;0.8768425583839417
29;0.7054592967033386;0.7711402177810669;0.6640523076057434;0.884351372718811
30;0.7064400315284729;0.7686806917190552;0.6627451181411743;0.8844441175460815
31;0.7169009447097778;0.7509986162185669;0.657516360282898;0.8909890055656433
32;0.7128146290779114;0.7511147856712341;0.6679738759994507;0.8692669868469238
33;0.7134684324264526;0.7415221929550171;0.6666666865348816;0.8575045466423035
34;0.7180451154708862;0.7324859499931335;0.6594771146774292;0.899620771408081
35;0.7216410636901855;0.7196090817451477;0.6640523076057434;0.885344922542572
36;0.7312847375869751;0.717170238494873;0.6529411673545837;0.8873944282531738
37;0.7371690273284912;0.6883946657180786;0.6673202514648438;0.8931136131286621
38;0.7373324632644653;0.6960413455963135;0.6653594970703125;0.8892807960510254
39;0.7360248565673828;0.691931962966919;0.6594771146774292;0.86962890625
40;0.7361882925033569;0.6901264190673828;0.6620914936065674;0.8763486742973328
